socialHeadline,headline,urlAlias,updatedDate
"""Oxfam Trailwalker cancelled amid Hong Kong protests""","""Hong Kong protests: Oxfam Trailwalker cancelled as unrest causes more havoc across the city""","""https://scmp.com/print/sport/outdoor/trail-running/article/3037500/hong-kong-protests-oxfam-trailwalker-cancelled-unrest""",2019-11-13 06:24:35
"""Beijing’s top office in Hong Kong urges stronger crackdown""","""‘Sliding into an abyss’: Beijing’s top office in Hong Kong urges stronger crackdown against unrest""","""https://scmp.com/print/news/china/politics/article/3037495/sliding-abyss-beijings-top-office-hong-kong-urges-stronger""",2019-11-13 16:27:27
"""Shenzhen and Hong Kong-based groups help mainland students flee city""","""Shenzhen and Hong Kong-based groups help mainland Chinese students flee city""","""https://scmp.com/print/news/china/society/article/3037487/shenzhen-opens-centres-mainland-chinese-students-fleeing-hong""",2019-11-14 07:55:39
"""Jockey Club cancels Happy Valley race meeting as chaos escalates""","""Hong Kong protests: Jockey Club cancels Happy Valley race meeting as chaos escalates""","""https://scmp.com/print/sport/article/3037482/jockey-club-cancels-happy-valley-race-meeting-chaos-escalates""",2019-11-13 08:50:01
"""Stocks Blog: Alibaba approved to list in Hong Kong;  New World, Wharf, other property stocks fall amid protest chaos""","""Stocks Blog: Alibaba approved to list in Hong Kong;  New World, Wharf, other property stocks fall amid protest chaos""","""https://scmp.com/print/business/markets/article/3037469/stocks-blog-alibaba-approved-list-hong-kong-selling-us15-billion""",2019-11-13 09:31:37
"""What 1967 riots taught Hong Kong: less politics, more consensus""","""If Hong Kong could find consensus after 1967 riots, it can do the same again""","""https://scmp.com/print/comment/letters/article/3037385/if-hong-kong-could-find-consensus-after-1967-riots-it-can-do-same""",2019-11-13 00:00:06
"""Hong Kong police: Boys with lethal toys need better leaders""","""Hong Kong police in riots city: scared boys with lethal toys need better leaders""","""https://scmp.com/print/comment/letters/article/3037367/hong-kong-police-riots-city-scared-boys-lethal-toys-need-better""",2019-11-12 23:30:10
"""As it happened: Hong Kong protesters set Cross-Harbour Tunnel tollbooth alight again""","""As it happened: Hong Kong protesters set Cross-Harbour Tunnel tollbooth alight again as tear gas fired in Kwai Chung and Yuen Long""","""https://scmp.com/print/news/hong-kong/politics/article/3037453/hong-kong-protests-city-braces-third-straight-day-travel""",2019-11-13 18:05:17
"""Alarmed EU urges ‘complete inquiry’ into protests and police behaviour""","""EU, alarmed by rising violence in Hong Kong, calls for ‘complete inquiry’ into protests and police behaviour""","""https://scmp.com/print/news/hong-kong/politics/article/3037465/eu-alarmed-rising-violence-hong-kong-calls-complete-inquiry""",2019-11-13 07:53:15
"""Police recruiting ‘special cops’ to ease Hong Kong protest burden: sources""","""Hong Kong protests: ‘special police’ unit will be unveiled this week to ease pressure on embattled force, sources say""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3037425/hong-kong-protests-special-police-unit-will-be""",2019-11-12 23:15:43
