socialHeadline,headline,urlAlias,updatedDate
"""Hong Kong police break down the cost of Sunday’s night of violence""","""More than 100 petrol bombs thrown, 11 MTR station entrances damaged and one retailer losing over HK$2 million in goods. Hong Kong police break down the cost of Sunday’s night of violence""",https://scmp.com/print/news/hong-kong/politics/article/3033941/more-100-petrol-bombs-thrown-11-mtr-station-entrances,21/10/2019 18:39
"""Man who was arrested when ‘passing protest’ released after court move""","""Hong Kong protests: police release man after complaint filed to court alleging officers would not say who arrested him or why""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3033938/hong-kong-protests-police-release-man-after-complaint,21/10/2019 14:17
"""China accuses West of double standard over Hong Kong protests""","""China accuses West of double standard over Hong Kong protests after disorder in streets of Barcelona and London""",https://scmp.com/print/news/china/diplomacy/article/3033933/china-accuses-west-double-standards-over-hong-kong-protests,21/10/2019 20:11
"""Man accused of stabbing Hong Kong protester remanded in custody""","""Mainland Chinese man remanded in custody for allegedly stabbing Hong Kong protester in Tai Po""",https://scmp.com/print/news/hong-kong/education/article/3033858/mainland-chinese-man-charged-stabbing-hong-kong-protester,21/10/2019 15:57
"""Top Hong Kong school accused of curbing freedoms with political events ban""","""Top Hong Kong school accused of restricting freedoms with ban on political events, fearing conflict between pupils on opposing sides of protest debate""",https://scmp.com/print/news/hong-kong/society/article/3033853/top-hong-kong-school-accused-restricting-freedoms-ban,21/10/2019 14:42
"""Hong Kong leader apologises after water cannon sprays mosque entrance""","""Hong Kong protests: city leader Carrie Lam and police chief Stephen Lo apologise after water cannon sprays mosque entrance""",https://scmp.com/print/news/hong-kong/politics/article/3033843/hong-kong-protests-city-leader-carrie-lam-and-police-chief,21/10/2019 17:26
"""US is instigating colour revolutions, China’s Defence Minister Wei says""","""US is instigating colour revolutions, China’s Defence Minister Wei Fenghe says""",https://scmp.com/print/news/china/military/article/3033824/us-instigating-colour-revolution-chinas-defence-minister-wei,21/10/2019 15:53
"""Does Hong Kong have a silent majority yearning to condemn protests?""","""Hong Kong protests: is there a silent majority yearning to speak out but intimidated by violence?""",https://scmp.com/print/news/hong-kong/politics/article/3033770/there-silent-majority-hong-kong-yearning-speak-out,21/10/2019 16:23
"""Call for special Hong Kong court to fast-track protesters’ cases""","""Hong Kong protests: growing number of repeat arrests prompts calls for special court to fast-track cases related to violent unrest""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3033775/hong-kong-protests-growing-number-repeat-arrests,21/10/2019 00:30
"""Hong Kong finance chief touts market resilience on US tour""","""Hong Kong finance chief Paul Chan touts market resilience on US tour and says capital outflows insignificant, amid protest turmoil at home""",https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3033764/hong-kong-finance-chief-paul-chan-touts-market,21/10/2019 01:59
